사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201805,4호선,상계,48,4,15805,209,43630,9673,107842,20680,100382,22142,58273,19133,39852,17291,35002,17034,35180,20677,33747,23526,27026,25309,26854,30296,30122,36687,28694,47107,29384,66859,20364,72318,15180,49681,13560,44547,13517,42422,5299,33755,709,10458,2,1120,0,0,0,0,20180603
201805,4호선,당고개,49,1,10508,24,20764,8407,56338,11705,57293,16205,37734,16528,26262,16408,24038,14182,22882,14583,22981,15993,20424,16971,19108,20949,19382,24124,21334,29580,19665,39026,15589,39773,10249,31078,8035,26857,6003,26602,2645,20836,366,7158,2,643,0,0,0,0,20180603
201805,3호선,오금,24,0,3686,11,9543,2272,30829,6744,36592,15884,19772,7723,12568,6342,10563,5288,10409,6060,10358,7503,8474,7595,8297,9563,9776,11544,11251,14897,16000,22312,7789,20456,5236,14090,5005,13112,4036,14708,1447,9722,135,3041,0,2,0,0,0,0,20180603
201805,3호선,경찰병원,10,0,2773,253,8157,2956,26715,8491,29627,31411,18219,15924,14017,9625,12617,7512,11120,8402,11492,10981,11582,10749,11176,11068,12144,11786,14878,15350,22317,21467,9881,21153,7494,13309,6839,11797,4761,12382,1889,8343,189,2290,0,0,0,0,0,0,20180603
201805,3호선,가락시장,16,0,3100,598,8956,5784,26516,11565,30462,33793,22109,17006,18383,11617,17745,12582,16872,13428,17740,14263,16556,15069,16664,17492,18689,18409,21172,22830,32878,29325,16248,25820,12204,16644,11368,15410,8856,15334,3774,10081,516,3291,1,66,0,0,0,0,20180603
201805,3호선,수서,106,1,5606,2044,14378,15716,41508,35376,50498,56366,36952,33966,34915,23887,27570,19239,31297,23957,31015,23773,24292,25287,33018,28740,38870,33836,40418,37017,57555,49749,28542,45038,26052,32142,19111,27097,17818,28401,9206,13660,947,6255,4,481,0,0,0,0,20180603
201805,3호선,일원,23,3,2262,1204,8882,7839,25557,26174,25405,24790,18318,19645,17763,18167,18811,14660,19433,15946,16639,16910,17240,16423,20090,15148,24527,13991,26569,15871,18182,20365,11208,19414,8916,12670,5792,12077,3898,13621,1203,7490,171,2631,0,12,0,0,0,0,20180603
201805,3호선,대청,59,2,3961,1385,11057,9944,30766,19085,35507,25887,20657,11728,15778,8926,14933,9317,14628,9760,16454,10897,13841,12020,16308,14874,24851,16582,25101,18114,29263,25008,14491,24217,10547,16773,8829,15690,7155,18239,2595,11211,392,3910,0,0,0,0,0,0,20180603
201805,3호선,학여울,18,1,659,273,1783,2200,4804,5128,5640,10890,4107,11207,3309,8343,4370,6676,6496,6423,7430,6897,8338,5770,9513,4835,9887,3945,9338,3871,9225,4762,3738,4354,2323,2973,2377,2736,1722,2832,483,2020,58,673,1,0,0,1,0,0,20180603
201805,3호선,대치,13,0,2715,764,13916,8325,31693,21636,34274,27450,22061,20227,16873,15487,16337,13110,18362,18441,18899,21652,16711,19394,18806,21796,20579,28653,28395,33415,29849,33104,22942,28336,15564,16588,21437,16762,36957,17680,5163,11022,688,3889,0,1,0,0,0,0,20180603
